invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,date,time,payment_method,cogs,gross_margin_percentage,gross_income,rating,time_of_day,day_of_week,month
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.97,2019-01-05,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,Afternoon,Saturday ,January  
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.8200,80.22,2019-03-08,10:29:00,Cash,76.40,4.761904762,3.8200,9.6,Morning,Friday   ,March    
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.53,2019-03-03,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4,Afternoon,Sunday   ,March    
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.2880,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.761904762,23.2880,8.4,Evening,Sunday   ,January  
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.38,2019-02-08,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,Morning,Friday   ,February 
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.62,2019-03-25,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,Evening,Monday   ,March    
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.6520,433.69,2019-02-25,14:36:00,Ewallet,413.04,4.761904762,20.6520,5.8,Afternoon,Monday   ,February 
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.7800,772.38,2019-02-24,11:38:00,Ewallet,735.60,4.761904762,36.7800,8.0,Morning,Sunday   ,February 
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.6260,76.15,2019-01-10,17:15:00,Credit card,72.52,4.761904762,3.6260,7.2,Evening,Thursday ,January  
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.2260,172.75,2019-02-20,13:27:00,Credit card,164.52,4.761904762,8.2260,5.9,Afternoon,Wednesday,February 
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.8960,60.82,2019-02-06,18:07:00,Ewallet,57.92,4.761904762,2.8960,4.5,Evening,Wednesday,February 
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.1020,107.14,2019-03-09,17:03:00,Cash,102.04,4.761904762,5.1020,6.8,Evening,Saturday ,March    
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.49,2019-02-12,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,Morning,Tuesday  ,February 
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.5950,453.50,2019-02-07,16:48:00,Ewallet,431.90,4.761904762,21.5950,8.2,Evening,Thursday ,February 
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.6900,749.49,2019-03-29,19:21:00,Cash,713.80,4.761904762,35.6900,5.7,Evening,Friday   ,March    
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.1160,590.44,2019-01-15,16:19:00,Cash,562.32,4.761904762,28.1160,4.5,Evening,Tuesday  ,January  
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.64,2019-03-11,11:03:00,Credit card,482.51,4.761904762,24.1255,4.6,Morning,Monday   ,March    
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.7830,457.44,2019-01-01,10:39:00,Credit card,435.66,4.761904762,21.7830,6.9,Morning,Tuesday  ,January  
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.21,2019-01-21,18:00:00,Credit card,164.01,4.761904762,8.2005,8.6,Evening,Monday   ,January  
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.30,2,4.0300,84.63,2019-03-11,15:30:00,Ewallet,80.60,4.761904762,4.0300,4.4,Afternoon,Monday   ,March    
